rated,winner,increment_code,white_rating,black_rating,victory_status_draw,victory_status_mate,victory_status_outoftime,victory_status_resign,moves_num,opening_num,midMoves_num,pca1,pca2
1.0,black,0.08333333333333334,0.44050104384133604,0.5829694323144103,0.0,1.0,0.0,0.0,0.4285714285714286,0.07407407407407407,0.5365853658536586,0.8596853989767137,-0.18981388541157676
1.0,black,0.08333333333333334,0.43841336116910223,0.5709606986899562,0.0,0.0,1.0,0.0,0.8253968253968254,0.3333333333333333,0.7560975609756099,0.27293900931520054,-0.28055393189036876
1.0,black,0.08333333333333334,0.26983298538622125,0.1823144104803493,0.0,1.0,0.0,0.0,0.5238095238095237,0.0,0.6341463414634146,0.8962896807523733,-0.19475528143215662
1.0,white,0.08333333333333334,0.3188935281837161,0.28384279475982527,0.0,1.0,0.0,0.0,0.14285714285714285,0.1111111111111111,0.30487804878048785,0.8466167520793088,-0.1402503824233491
1.0,white,0.05555555555555556,0.2693110647181628,0.2903930131004367,0.0,1.0,0.0,0.0,0.19047619047619047,0.037037037037037035,0.36585365853658536,0.8559055274157571,-0.14920760838951305
1.0,black,0.05555555555555556,0.28392484342379953,0.34934497816593885,0.0,0.0,0.0,1.0,0.6031746031746031,0.0,0.6951219512195123,-0.5061659364720017,-0.2289161527886714
1.0,white,0.05555555555555556,0.3293319415448852,0.2991266375545851,0.0,0.0,1.0,0.0,0.5079365079365079,0.037037037037037035,0.6097560975609756,0.2662752251597903,-0.23607963477253274
1.0,white,0.08333333333333334,0.3747390396659708,0.3024017467248908,0.0,1.0,0.0,0.0,0.2857142857142857,0.1111111111111111,0.41463414634146345,0.8583042614828922,-0.1616416774509772
1.0,black,0.16666666666666669,0.2797494780793319,0.296943231441048,0.0,0.0,0.0,1.0,0.6349206349206349,0.07407407407407407,0.6951219512195123,-0.5031050635606705,-0.22777745823401427
1.0,black,0.16666666666666669,0.2927974947807933,0.283296943231441,0.0,0.0,0.0,1.0,0.19047619047619047,0.0,0.3780487804878049,-0.546643609135315,-0.16587932478458833
1.0,white,0.11111111111111112,0.2896659707724426,0.21179039301310038,0.0,1.0,0.0,0.0,0.30158730158730157,0.0,0.46341463414634154,0.8711276769839614,-0.163158249695568
1.0,black,0.044444444444444446,0.2948851774530271,0.3160480349344978,0.0,0.0,0.0,1.0,0.5555555555555556,0.0,0.6585365853658537,-0.5101352206227927,-0.22174727458874852
1.0,black,0.044444444444444446,0.3110647181628392,0.2991266375545851,0.0,0.0,0.0,1.0,0.14285714285714285,0.07407407407407407,0.3170731707317074,-0.5554197955872711,-0.16068523585590236
1.0,black,0.16666666666666669,0.20302713987473908,0.29585152838427947,0.0,0.0,0.0,1.0,0.23809523809523808,0.1111111111111111,0.3780487804878049,-0.5422640936705567,-0.1693290068598807
